"SEASON","TYPE","tracked","Year_Nest","raw.breed.succ","fit","estimated.nest.survival","lcl","ucl"
"COOL","MANMADE","untracked birds","2015",0.5,4.43777710484675,0.268120304940291,2.39036958972311e-05,0.837520781244003
"COOL","MANMADE","untracked birds","2016",0.583333333333333,5.09935505398321,0.506009232836268,0.00548973592966594,0.902686045028245
"COOL","MANMADE","untracked birds","2017",0.613636363636364,4.71289010673277,0.367461502622375,0.000507369181244471,0.871930875785647
"COOL","MANMADE","untracked birds","2018",0.125,3.69995749241121,0.064863279794243,2.33705898880961e-08,0.674747318211836
"COOL","MANMADE","untracked birds","2019",0.533333333333333,4.03846363975637,0.141316382959615,1.91401246158741e-06,0.75294268647953
"COOL","MANMADE","tracked birds","2018",0.444444444444444,4.29567966139946,0.219598924823413,1.88552292453571e-05,0.836545786279366
"COOL","MANMADE","tracked birds","2019",0.363636363636364,4.5742413298767,0.316869619460958,0.000125329032299162,0.847150644695011
"COOL","NATURAL","untracked birds","2005",0.333333333333333,3.44420935951357,0.0295919400194224,3.96453032610741e-11,0.676797557902184
"COOL","NATURAL","untracked birds","2006",0.357142857142857,3.8437071078951,0.0931953797715807,8.37818525884245e-08,0.719292023351954
"COOL","NATURAL","untracked birds","2007",0.114285714285714,2.83911078156005,0.00172048474835478,4.08166854631035e-19,0.403564733368519
"COOL","NATURAL","untracked birds","2010",0.181818181818182,3.65241811962222,0.0568711855438291,2.79927382388867e-09,0.727937781628404
"HOT","MANMADE","untracked birds","2014",0.375,3.64785727242951,0.0561400921274463,2.66875818153286e-09,0.73083899822036
"HOT","MANMADE","untracked birds","2015",0.444444444444444,3.80359706939346,0.0846599709887727,1.41294341072525e-08,0.743117607572704
"HOT","MANMADE","untracked birds","2016",0.464285714285714,4.46797527718675,0.278765127180478,7.06839967248589e-05,0.885405417314772
"HOT","MANMADE","untracked birds","2017",0.238095238095238,4.19289512674662,0.186591389000692,4.27420855789428e-06,0.808198845569177
"HOT","MANMADE","untracked birds","2018",0.195652173913043,3.17115006780382,0.0100207738877489,6.01910656623404e-16,0.549413459121773
"HOT","MANMADE","tracked birds","2017",0.777777777777778,4.68849092519698,0.358527045102061,0.000122402382610554,0.850522562456509
"HOT","MANMADE","tracked birds","2018",0,3.6992398866834,0.0647375739557507,2.04474534602777e-09,0.712949269070099
"HOT","NATURAL","untracked birds","2004",0.384615384615385,3.16608923261743,0.00979411337686138,8.15861446434175e-14,0.59043594171047
"HOT","NATURAL","untracked birds","2005",0.04,2.93197565099709,0.00298230631138188,1.23565952439318e-19,0.537052949820918
"HOT","NATURAL","untracked birds","2006",0.0909090909090909,3.21417486488516,0.0121185735907183,9.85921902842058e-12,0.582308120927914
